//fileLoc: inputData/dem20x20.png
//fluxMulti: 3.0 channelCutOff: 20
# 602

p 508 95 108.09958
p 509 96 111.27661
p 510 95 113.249084
p 511 94 115.38556
p 512 94 117.084984
p 513 94 119.2407
p 514 94 122.25109

c 21 -33.88723
p 469 41 126.01697
p 470 40 125.20353
p 471 39 124.00009
p 472 38 123.377846
p 473 37 122.189835
p 474 36 121.09516
p 475 36 120.30715
p 476 36 119.178535
p 477 35 118.288414
p 478 34 115.2417
p 479 33 113.373886
p 480 32 110.490166
p 481 31 108.30997
p 482 30 107.162254
p 483 29 105.28274
p 484 28 103.34285
p 485 27 102.034645
p 486 27 100.15975
p 487 26 98.373146
p 488 25 95.189705
p 489 25 94.25565
p 490 24 93.23662
p 491 23 92.35287
p 491 22 92.35287
p 490 21 92.12974
p 489 21 92.12974

c 22 56.089214
p 471 92 63.042164
p 472 92 64.00285
p 473 91 64.39216
p 474 90 66.25389
p 474 89 67.020195
p 475 88 68.07599
p 475 87 70.14859
p 475 86 71.331764
p 476 85 73.22633
p 476 84 73.400566
p 477 83 75.2524
p 478 82 77.16361
p 479 81 79.42226
p 480 80 81.11388
p 481 79 82.0205
p 482 78 84.08318
p 483 78 86.37777
p 484 77 87.47546
p 485 76 89.18214
p 485 75 91.25865
p 485 74 93.292175
p 486 73 95.072136
p 487 72 98.38705
p 486 71 101.04871
p 486 70 102.09943
p 485 69 103.26886
p 486 68 104.094734
p 486 67 107.46056
p 486 66 110.35952
p 486 65 112.16399
p 487 64 114.00016
p 486 63 114.20715
p 487 62 117.14678
p 487 61 119.13138

c 23 58.878304
p 472 173 23.126837
p 473 173 24.059025
p 474 173 24.059025
p 475 172 24.0621
p 476 172 24.076056
p 477 171 25.419138
p 478 170 25.420351
p 479 169 26.232903
p 480 169 26.280996
p 481 169 27.236364
p 482 168 27.236364
p 483 167 28.021147
p 484 167 29.003115
p 485 168 30.073347
p 486 168 30.455412
p 487 167 31.040236
p 488 168 32.14463
p 489 167 33.42008
p 490 167 35.170567
p 491 166 35.18629
p 492 166 37.160084
p 493 167 38.22378
p 494 166 39.01225
p 495 166 41.23746
p 496 165 42.09233
p 497 166 43.1145
p 498 165 44.098488
p 499 164 45.036903
p 500 164 45.43895
p 501 164 46.13534
p 502 164 47.105762
p 503 164 47.47112
p 504 163 49.14483
p 505 163 50.219326
p 506 163 50.384327
p 507 163 52.03706
p 508 163 54.352455
p 509 163 55.112186
p 510 162 56.4245
p 511 161 58.328133
p 512 160 59.251186
p 513 160 60.23396
p 514 159 63.315586
p 515 158 64.01659
p 515 157 65.03695
p 515 156 67.050354
p 516 155 68.190094
p 517 154 69.13149
p 517 153 71.3968
p 517 152 74.10066
p 517 151 76.15411
p 518 150 79.25062
p 517 149 82.00514

c 24 16.993706
p 475 199 14.12245
p 475 200 14.12245
p 476 198 15.000044
p 477 197 16.070486
p 478 196 16.385164
p 479 195 17.171913
p 480 194 17.171913
p 480 193 17.238064
p 480 192 18.015356
p 480 191 18.186289
p 480 190 19.048212
p 481 189 20.036934
p 482 189 20.142519
p 483 188 20.38499
p 484 187 22.014431
p 485 186 22.240646
p 486 185 23.193392
p 487 184 25.128048
p 488 183 26.033916
p 489 182 27.075579
p 489 181 28.047928
p 489 180 29.01038
p 490 181 29.157108
p 491 180 31.116156

c 25 14.363556
p 475 205 13.11405
p 475 206 13.11405
p 476 205 13.216134
p 477 205 14.04021
p 478 204 14.071556
p 479 205 14.356102
p 480 204 15.114566
p 481 204 15.114566
p 482 204 16.086716
p 483 204 16.130926
p 484 204 17.140934
p 485 203 17.384958
p 486 203 17.384958
p 487 203 18.038616
p 488 202 18.316996
p 488 201 18.457489
p 489 200 19.242586
p 490 201 19.242586
p 491 201 20.379202
p 492 200 21.105831
p 493 199 22.19536
p 494 198 24.406706
p 495 197 26.077953
p 496 196 27.477606

c 26 20.874866
p 481 196 17.256973
p 482 196 17.256973
p 483 195 18.490746
p 484 194 19.11242
p 485 194 20.010239
p 486 194 20.301968
p 487 193 21.03216
p 487 192 22.272175
p 488 191 22.272175
p 489 191 23.247618
p 490 190 23.247618
p 491 190 24.174246
p 492 189 26.17617
p 493 188 27.030155
p 494 189 28.20575
p 495 188 29.415308
p 496 189 31.242542
p 497 190 32.334854
p 498 190 34.19998
p 499 189 35.053516
p 500 188 35.267902
p 501 187 36.149174
p 502 188 38.13184

c 27 18.77771
p 482 164 29.27924
p 483 165 29.204794
p 483 166 29.204794
p 483 163 31.156384
p 484 162 31.353962
p 485 161 32.030212
p 485 160 32.054966
p 486 159 33.397514
p 487 159 34.22811
p 488 159 35.17587
p 489 158 36.115883
p 490 157 36.321632
p 491 156 38.45596
p 491 155 38.45596
p 491 154 39.084995
p 492 153 40.45495
p 493 152 42.31645
p 494 151 42.31645
p 495 150 44.18944
