//fileLoc: inputData/dem20x20.png
//fluxMulti: 2.0 channelCutOff: 20
# 783

p 376 87 21.464855
p 377 87 22.056252
p 378 88 22.152605
p 379 87 22.152605
p 380 86 23.066198
p 380 85 23.41227
p 381 84 24.020514
p 382 83 25.08558
p 383 83 25.224874
p 384 82 25.319204
p 384 81 26.314482
p 385 80 27.2668
p 386 79 27.44803
p 385 78 28.12421
p 386 77 28.12421

c 12 45.978607
p 376 1 52.24855
p 377 1 52.24855
p 378 0 53.24917
p 379 1 57.12174
p 380 0 59.39806
p 381 1 61.303753
p 382 1 63.04224
p 383 2 65.03588
p 384 3 66.20388
p 385 2 69.17521
p 386 2 72.28695
p 387 2 74.068665
p 388 1 77.052795
p 389 1 80.22073
p 390 2 83.13908
p 391 2 86.10812
p 392 2 89.07409
p 393 3 91.159355
p 394 2 94.0541
p 395 2 96.06104
p 396 3 98.22716

c 13 16.923481
p 379 125 12.133258
p 380 124 12.133258
p 381 125 13.015463
p 382 124 13.016748
p 383 124 13.024783
p 384 124 13.04739
p 385 125 13.4389305
p 386 124 14.097417
p 387 123 14.107493
p 388 123 14.107493
p 389 122 15.031989
p 390 121 15.051949
p 389 120 15.051949
p 389 119 15.178777
p 389 118 15.178777
p 390 117 16.065691
p 391 117 16.145292
p 392 116 16.145292
p 393 115 17.006447
p 394 114 17.176805
p 394 113 17.176805
p 394 112 18.059784
p 395 111 18.338358
p 396 110 18.338358
p 395 109 19.235302
p 394 108 19.235302
p 394 107 20.039984
p 395 106 20.264116
p 395 105 20.264116
p 396 104 21.059425
p 395 103 22.074354
p 396 102 22.074354
p 397 102 22.193157
p 398 101 22.36496
p 398 100 23.00917
p 397 99 23.499552
p 398 98 24.028906
p 399 97 25.033613
p 398 96 25.300808
p 397 95 26.077158
p 397 94 26.164118
p 398 93 27.072771
p 399 92 28.057983
p 400 92 28.166449
p 401 93 28.305101
p 402 92 29.05674

c 14 23.210817
p 397 108 19.11711
p 398 109 19.11711
p 399 108 19.351967
p 400 107 20.070314
p 401 106 20.070314
p 402 105 20.30738
p 403 104 21.108524
p 404 103 22.174778
p 404 102 22.174778
p 404 101 23.315308
p 405 100 24.239029
p 405 99 25.195034
p 405 98 25.195034
p 405 97 26.338045
p 406 96 27.08179
p 405 95 28.10933
p 406 94 30.29089
p 407 93 32.259594
p 408 92 35.4825
p 409 91 37.109592
p 410 90 39.172737
p 411 89 40.065952
p 411 88 41.213142
p 412 87 42.327927

c 15 34.869602
p 398 48 44.167416
p 399 47 44.167416
p 400 46 45.061817
p 401 45 46.249996
p 401 44 48.072983
p 401 43 48.47076
p 402 42 49.157356
p 401 41 49.267193
p 402 40 50.051277
p 402 39 51.097805
p 402 38 51.200546
p 403 37 51.460773
p 404 36 53.238976
p 405 35 55.109528
p 406 35 57.10786
p 407 36 59.096565
p 408 35 62.049416
p 409 36 65.209984
p 410 35 66.38886
p 411 34 67.4085
p 412 34 69.062744
p 413 35 72.340324
p 414 34 75.02282
p 415 35 77.00392
p 416 34 79.03702

c 16 88.82849
p 398 84 29.342148
p 399 84 29.342148
p 400 83 30.159157
p 401 82 31.19369
p 402 81 31.311382
p 403 80 32.13299
p 403 79 32.269424
p 403 78 32.269424
p 403 77 33.157623
p 404 76 33.157623
p 405 77 34.083626
p 406 76 34.083626
p 407 76 34.12877
p 408 75 35.135666
p 408 74 35.135666
p 409 74 35.365532
p 410 73 36.113674
p 411 73 36.235092
p 412 72 37.079597
p 413 71 38.010406
p 414 70 39.170364
p 415 71 39.170364
p 416 70 39.280567
p 417 69 40.02264
p 417 68 41.397884
p 418 67 41.397884
p 419 66 42.001938
p 420 65 43.110878
p 421 65 43.426228
p 422 64 44.221245
p 423 63 45.18017
p 424 64 46.000347
p 425 64 46.190983
p 426 65 46.190983
p 427 65 48.094563
p 428 65 50.250053
p 429 64 51.112667
p 430 65 54.079155
p 431 66 56.16441
p 432 66 57.305866
p 433 66 58.083244
p 434 67 58.20551
p 435 68 60.099075
p 436 67 63.008083
p 437 67 66.10645
p 438 68 69.03298
p 439 69 73.09368
p 440 70 75.15765
p 441 70 77.32358
p 442 70 77.32358
p 443 71 80.13351
p 444 71 84.14299
p 445 70 86.10561
p 446 70 86.26231
p 447 70 87.321815
p 448 70 90.02984
p 449 70 92.01481
p 450 69 94.381
p 451 69 95.259796
p 452 69 97.41132
p 453 69 100.0702
p 454 68 102.21796
p 455 68 104.09285
p 456 67 106.22051
p 457 66 108.13112
p 458 65 110.010376
p 459 64 113.116066
p 460 65 114.31865
p 461 64 116.179634
p 462 63 118.17064

c 17 26.761974
