# 597

p 487 193 21.251453
p 488 193 22.071898
p 489 192 22.347092
p 490 191 23.073885
p 490 190 23.228899
p 491 190 24.339838
p 492 189 26.366535
p 493 188 27.065235
p 494 188 28.116772
p 495 188 29.344328
p 496 188 30.258263
p 497 187 33.35913
p 498 187 34.239773

c 31 23.09835
p 485 39 114.43563
p 486 40 115.23081
p 486 38 112.15555
p 487 37 109.3736
p 488 36 107.491585
p 489 35 105.2564
p 490 35 104.03143
p 490 34 103.052345
p 491 33 102.25092
p 492 32 100.37328
p 492 31 98.23072
p 493 30 95.08271
p 493 29 94.18585
p 492 28 94.06648
p 491 27 94.04411
p 492 26 93.15056
p 493 25 92.13246

c 32 29.913109
p 485 64 114.11046
p 486 63 114.12921
p 487 62 117.46874
p 487 61 119.34603
p 486 65 112.2764
p 487 66 110.04338
p 486 67 107.10747
p 486 68 104.450455
p 485 69 103.18298
p 486 70 102.0031
p 487 71 101.09444
p 486 72 98.294655
p 487 73 96.21986
p 486 73 95.44006
p 486 74 93.462746
p 485 74 93.114395
p 485 75 91.031044
p 485 76 89.43292

c 33 45.663635
p 485 106 66.46332
p 486 106 66.48685
p 486 105 67.14259
p 487 105 68.03954
p 487 104 68.12042
p 488 105 70.05787
p 489 104 72.0636
p 490 103 74.06582
p 491 102 76.06599
p 492 101 78.0612
p 493 101 79.28582
p 494 100 82.491196
p 495 99 84.179214
p 496 99 84.48742
p 497 98 87.227
p 498 98 89.26112
p 498 97 90.374794
p 499 97 91.30584
p 499 96 92.41525
p 500 97 92.48831
p 501 97 94.00822
p 501 96 94.32389
p 502 95 95.375084
p 503 95 96.04447
p 503 94 98.12967
p 503 93 100.12596
p 503 92 101.29429
p 504 91 103.03856
p 504 90 106.21282
p 505 90 106.2547
p 505 89 108.09682
p 506 89 109.057785
p 505 88 109.487854
p 506 87 111.40666
p 507 88 112.12695

c 34 22.829473
p 485 184 23.096981
p 486 183 25.216057
p 487 182 26.256636
p 488 183 26.351713
p 489 182 27.063208
p 490 183 28.017487
p 491 182 30.109612
p 492 182 31.040276
p 493 182 33.099823
p 494 181 34.33752
p 495 181 36.17003
p 496 180 38.233288
p 497 179 40.217747
p 498 178 42.215874
p 499 177 44.006107
p 500 177 45.059265
p 486 185 23.02915
p 485 186 22.229792

c 35 22.717346
p 487 200 18.322998
p 488 199 19.246468
p 489 198 20.226406
p 490 197 21.259132
p 491 196 23.06126
p 492 195 24.287495
p 493 194 26.291735
p 494 193 27.005684
p 495 192 29.176332
p 496 191 31.267399
p 497 190 32.07257
p 498 189 34.289238
p 499 189 35.06394
p 500 188 35.286667
p 501 187 36.39392
p 502 188 38.066956
p 503 187 39.49754
p 504 186 41.040344

c 36 34.971203
p 500 144 50.470127
p 501 143 51.1109
p 501 142 52.217613
p 502 141 53.136566
p 503 140 55.345207
p 504 139 57.028965
p 505 138 59.12206
p 506 137 59.491745
p 506 136 60.12254
p 507 136 62.375107
p 507 135 63.18529
p 508 135 65.281395
p 508 134 66.08655
p 509 134 67.057365
p 509 133 67.245766
p 509 132 68.463394
p 510 132 69.41397
p 510 131 70.2597
p 511 131 71.015915
p 511 130 72.09341
p 512 131 73.09951
p 513 132 76.04643
p 514 133 79.34762
p 515 134 82.02475
p 516 134 85.042564
p 500 145 50.07136

c 37 13.168388
p 500 215 19.086227
p 501 214 20.12839
p 502 215 20.339216
p 503 214 21.036758
p 504 214 21.126759
p 505 214 22.021862
p 506 213 22.094967
p 507 212 23.066084
p 508 212 23.179787
p 509 212 23.48745
p 510 211 24.289145
p 511 211 25.012625
p 512 210 26.27956
p 513 210 27.164814
p 514 209 27.19715
p 515 208 28.00443
p 516 208 29.07575
p 517 207 30.221853
p 518 206 31.285046
p 519 207 32.254616

c 38 30.66906
p 513 118 91.17839
p 514 117 92.00147
p 514 116 94.15733
p 514 115 96.05897
p 515 114 98.12226
p 516 113 100.18005
p 517 112 103.42261
p 518 111 104.101105
p 518 110 106.03715
p 519 110 107.45001
p 519 109 109.23199
p 520 109 110.0738
p 520 108 111.1861
p 521 108 112.15122
p 520 107 113.09653
p 520 106 115.13781
p 513 119 89.31795
p 513 120 86.06635
p 513 121 84.46875

c 39 42.30748
p 514 128 78.06176
p 515 127 80.07958
p 516 127 83.11915
p 517 126 85.11049
p 518 125 87.27147
p 519 124 89.39609
p 520 123 92.27928
p 521 123 93.29253
p 522 123 96.18959
p 523 123 98.03197
p 524 122 99.23934
p 525 122 101.139656
p 525 121 102.20982
p 526 122 104.22467
p 527 121 106.21468
p 528 120 108.3337
p 529 119 110.366196
p 528 118 111.25201
p 529 117 114.279884
p 530 116 117.42604
p 531 115 120.36924

c 40 8.047113
p 519 197 30.118315
p 520 196 31.183937
p 521 195 32.055183
p 521 194 32.37996
p 521 193 33.076912
p 520 192 33.110153
p 520 191 33.48142
p 521 190 34.256886
p 521 189 34.300606
p 521 188 35.180614
p 522 187 35.456142
p 523 187 36.20079
p 523 186 36.24089
p 524 185 37.171497
p 525 185 37.216522
p 525 184 38.022
p 525 183 38.16543

c 41 26.540428
p 521 162 66.0258
p 521 163 64.41245
p 521 164 62.432217
p 522 165 61.088596
p 522 166 59.223785
p 522 167 56.43018
p 523 168 54.16953
p 523 169 52.00436
p 524 170 50.031597
p 525 171 48.344288
p 526 172 46.044044
p 527 173 46.033665
p 527 174 44.214016
p 527 175 43.498356
p 528 176 42.315228
p 528 177 42.02117
p 528 178 41.426174
p 528 179 41.054157
p 527 180 40.07617
p 526 180 39.485374

c 42 14.071642
p 527 246 18.100615
p 528 245 19.041853
p 529 245 19.116909
p 530 244 20.005291
p 531 244 20.022434
p 532 245 21.02562
p 533 245 22.055433
p 534 245 23.128784
p 535 244 23.159521
p 536 243 23.317806
p 537 242 24.07107
p 538 243 25.020468
p 539 243 26.11897
p 540 243 26.194374
p 541 242 27.179358
p 542 241 29.101645
p 543 240 29.312479
p 544 240 30.145226
p 545 239 31.164106
p 546 238 32.172256

c 43 64.868256
p 529 177 42.33786
p 530 178 44.093422
p 531 178 45.131393
p 532 177 46.16494
p 533 178 47.121544
p 534 178 48.39829
p 535 178 50.194164
p 536 179 51.288742
p 537 180 53.07743
p 538 180 54.086037
p 539 180 56.17666
p 540 180 57.17633
p 541 180 58.384907
p 542 180 60.25483
p 543 179 62.10681
p 544 178 64.260216
p 545 178 65.45598
p 546 177 67.35595
p 547 176 70.37749
p 548 176 71.31457
p 548 175 71.37132
p 548 174 73.00284
p 549 175 73.30501
p 550 174 75.0536
p 551 174 77.129395
p 552 174 78.303566
p 553 173 80.16072
p 554 174 81.200935
p 554 173 81.33396
p 555 173 82.488266
p 555 172 83.43233
p 556 172 84.328186
p 556 171 85.3561
p 557 171 86.18241
p 557 170 87.046646
p 558 170 88.045525
p 558 169 89.1546
p 559 169 90.4303
p 560 168 92.46164
p 561 167 93.20639
p 562 167 94.36108
p 562 166 95.11863
p 562 165 97.29495
p 563 166 97.36897
p 564 165 100.45198
p 565 164 102.16099
p 566 163 104.017555
p 565 162 104.16135
p 565 161 106.198494
p 565 160 107.206116

c 44 36.020256
p 529 237 21.24911
p 530 236 22.138327
p 531 235 22.22239
p 532 234 23.152412
p 533 233 24.261057
p 534 232 25.305891
p 535 231 26.271795
p 536 230 27.252264
p 537 229 28.229183
p 538 228 30.060919
p 539 227 31.444862
p 540 226 32.144703
p 541 225 34.007885
p 542 224 36.062473
p 543 223 38.018467
p 544 222 40.024734
p 545 221 43.187508
p 546 220 45.05736
p 547 219 47.18566
p 548 218 49.09664
p 549 217 51.19995
p 550 216 53.07209
p 551 215 55.020184
p 552 214 57.010033
p 553 213 57.206833
p 554 214 57.269367

c 45 28.014427
p 531 86 123.137695
p 532 85 121.09002
p 533 84 120.447014
p 534 83 117.41756
p 535 84 117.069016
p 535 83 116.05577
p 535 82 115.39068
p 536 82 114.46206
p 535 81 114.14876
p 535 80 113.25455
p 536 79 112.197754
p 537 78 111.00145
p 538 77 109.249664
p 539 76 107.19653
p 540 75 104.04052
p 541 74 100.346214
p 542 73 96.37245
p 541 72 96.0727
p 542 72 96.04587
p 543 71 95.33951
p 543 70 95.16746
p 544 69 95.12327

c 46 19.655994
p 531 206 35.014404
p 532 205 36.056465
p 532 204 37.05928
p 532 203 38.21553
p 532 202 40.167164
p 533 201 41.119865
p 533 200 42.05867
